SampleID,TimePoint,Type,PlantID,WeightGrams,Water,Inoculation,Replicate,SampleType,SpeciesRichness
KSTRAW0876,T1,Root,R06I05W01,0.2749,1,5,6,post_inoc_post_stress,4329
KSTRAW0877,T1,Root,R07I05W01,0.3748,1,5,7,post_inoc_post_stress,19008
KSTRAW0878,T1,Root,R08I05W01,0.2768,1,5,8,post_inoc_post_stress,638
KSTRAW0879,T1,Root,R09I05W01,0.17031,1,5,9,post_inoc_post_stress,7345
KSTRAW0880,T1,Root,R10I05W01,0.3801,1,5,10,post_inoc_post_stress,7232
KSTRAW0881,T1,Root,R11I05W01,0.41185,1,5,11,post_inoc_post_stress,6451
KSTRAW0883,T1,Root,R13I05W01,0.05383,1,5,13,post_inoc_post_stress,579
KSTRAW0884,T1,Root,R14I05W01,0.14917,1,5,14,post_inoc_post_stress,391
KSTRAW0899,T1,Root,R01I01W02,0.1108,2,1,1,post_inoc_post_stress,12452
KSTRAW0900,T1,Root,R02I01W02,0.1343,2,1,2,post_inoc_post_stress,8425
KSTRAW0901,T1,Root,R03I01W02,0.1755,2,1,3,post_inoc_post_stress,5488
KSTRAW0902,T1,Root,R04I01W02,0.1444,2,1,4,post_inoc_post_stress,28905
KSTRAW0903,T1,Root,R05I01W02,0.2316,2,1,5,post_inoc_post_stress,19868
KSTRAW0904,T1,Root,R06I01W02,0.0768,2,1,6,post_inoc_post_stress,12959
KSTRAW0905,T1,Root,R07I01W02,0.2833,2,1,7,post_inoc_post_stress,13107
KSTRAW0906,T1,Root,R08I01W02,0.0777,2,1,8,post_inoc_post_stress,2842
KSTRAW0907,T1,Root,R09I01W02,0.0602,2,1,9,post_inoc_post_stress,19303
KSTRAW0908,T1,Root,R10I01W02,0.0646,2,1,10,post_inoc_post_stress,12067
KSTRAW0909,T1,Root,R11I01W02,0.2615,2,1,11,post_inoc_post_stress,24548
KSTRAW0910,T1,Root,R12I01W02,0.0634,2,1,12,post_inoc_post_stress,16
KSTRAW0911,T1,Root,R13I01W02,0.0156,2,1,13,post_inoc_post_stress,9648
KSTRAW0912,T1,Root,R14I01W02,0.1932,2,1,14,post_inoc_post_stress,15262
KSTRAW0913,T1,Root,R01I02W02,0.1993,2,2,1,post_inoc_post_stress,5
KSTRAW0914,T1,Root,R02I02W02,0.2001,2,2,2,post_inoc_post_stress,1838
KSTRAW0915,T1,Root,R03I02W02,0.1292,2,2,3,post_inoc_post_stress,6859
KSTRAW0916,T1,Root,R04I02W02,0.2845,2,2,4,post_inoc_post_stress,8232
KSTRAW0917,T1,Root,R05I02W02,0.1714,2,2,5,post_inoc_post_stress,10704
KSTRAW0918,T1,Root,R06I02W02,0.1001,2,2,6,post_inoc_post_stress,23466
KSTRAW0919,T1,Root,R07I02W02,0.2215,2,2,7,post_inoc_post_stress,15338
KSTRAW0920,T1,Root,R08I02W02,0.19,2,2,8,post_inoc_post_stress,3733
KSTRAW0921,T1,Root,R09I02W02,0.1606,2,2,9,post_inoc_post_stress,3787
KSTRAW0922,T1,Root,R10I02W02,0.1743,2,2,10,post_inoc_post_stress,4373
KSTRAW0923,T1,Root,R11I02W02,0.1387,2,2,11,post_inoc_post_stress,2427
KSTRAW0924,T1,Root,R12I02W02,0.2492,2,2,12,post_inoc_post_stress,151
KSTRAW0925,T1,Root,R13I02W02,0.1971,2,2,13,post_inoc_post_stress,7733
KSTRAW0926,T1,Root,R14I02W02,0.1898,2,2,14,post_inoc_post_stress,24571
KSTRAW0927,T1,Root,R01I03W02,0.2252,2,3,1,post_inoc_post_stress,7337
KSTRAW0928,T1,Root,R02I03W02,0.1269,2,3,2,post_inoc_post_stress,25417
KSTRAW0929,T1,Root,R03I03W02,0.3107,2,3,3,post_inoc_post_stress,22227
KSTRAW0930,T1,Root,R04I03W02,0.1819,2,3,4,post_inoc_post_stress,29914
KSTRAW0931,T1,Root,R05I03W02,0.1155,2,3,5,post_inoc_post_stress,1693
KSTRAW0932,T1,Root,R06I03W02,0.1768,2,3,6,post_inoc_post_stress,8636
KSTRAW0933,T1,Root,R07I03W02,0.1453,2,3,7,post_inoc_post_stress,19658
KSTRAW0934,T1,Root,R08I03W02,0.0351,2,3,8,post_inoc_post_stress,19010
KSTRAW0935,T1,Root,R09I03W02,0.2007,2,3,9,post_inoc_post_stress,3925
KSTRAW0936,T1,Root,R10I03W02,0.1985,2,3,10,post_inoc_post_stress,2295
KSTRAW0937,T1,Root,R11I03W02,0.0244,2,3,11,post_inoc_post_stress,9770
KSTRAW0938,T1,Root,R12I03W02,0.187,2,3,12,post_inoc_post_stress,36295
KSTRAW0939,T1,Root,R13I03W02,0.1067,2,3,13,post_inoc_post_stress,18571
KSTRAW0940,T1,Root,R14I03W02,0.1002,2,3,14,post_inoc_post_stress,9109
KSTRAW0941,T1,Root,R01I04W02,0.1938,2,4,1,post_inoc_post_stress,5486
KSTRAW0942,T1,Root,R02I04W02,0.3252,2,4,2,post_inoc_post_stress,5687
KSTRAW0943,T1,Root,R03I04W02,0.0793,2,4,3,post_inoc_post_stress,4358
KSTRAW0944,T1,Root,R04I04W02,0.1987,2,4,4,post_inoc_post_stress,10654
KSTRAW0945,T1,Root,R05I04W02,0.3142,2,4,5,post_inoc_post_stress,9056
KSTRAW0946,T1,Root,R06I04W02,0.19,2,4,6,post_inoc_post_stress,4799
KSTRAW0947,T1,Root,R07I04W02,0.2678,2,4,7,post_inoc_post_stress,10701
KSTRAW0948,T1,Root,R08I04W02,0.1766,2,4,8,post_inoc_post_stress,633
KSTRAW0949,T1,Root,R09I04W02,0.0708,2,4,9,post_inoc_post_stress,17544
KSTRAW0950,T1,Root,R10I04W02,0.2957,2,4,10,post_inoc_post_stress,10608
KSTRAW0951,T1,Root,R11I04W02,0.1599,2,4,11,post_inoc_post_stress,365
KSTRAW0952,T1,Root,R12I04W02,0.2795,2,4,12,post_inoc_post_stress,10148
KSTRAW0953,T1,Root,R13I04W02,0.0655,2,4,13,post_inoc_post_stress,6305
KSTRAW0954,T1,Root,R14I04W02,0.2658,2,4,14,post_inoc_post_stress,4207
KSTRAW0955,T1,Root,R01I05W02,0.3117,2,5,1,post_inoc_post_stress,1
KSTRAW0956,T1,Root,R02I05W02,0.2302,2,5,2,post_inoc_post_stress,12389
KSTRAW0957,T1,Root,R03I05W02,0.1621,2,5,3,post_inoc_post_stress,17872
KSTRAW0958,T1,Root,R04I05W02,0.3142,2,5,4,post_inoc_post_stress,20977
KSTRAW0959,T1,Root,R05I05W02,0.3329,2,5,5,post_inoc_post_stress,677
KSTRAW0960,T1,Root,R06I05W02,0.2922,2,5,6,post_inoc_post_stress,2120
KSTRAW0961,T1,Root,R07I05W02,0.3449,2,5,7,post_inoc_post_stress,3400
KSTRAW0962,T1,Root,R08I05W02,0.0496,2,5,8,post_inoc_post_stress,6111
KSTRAW0963,T1,Root,R09I05W02,0.2731,2,5,9,post_inoc_post_stress,26950
KSTRAW0964,T1,Root,R10I05W02,0.4397,2,5,10,post_inoc_post_stress,4312
KSTRAW0965,T1,Root,R11I05W02,0.2446,2,5,11,post_inoc_post_stress,15819
KSTRAW0966,T1,Root,R12I05W02,0.2699,2,5,12,post_inoc_post_stress,12351
KSTRAW0967,T1,Root,R13I05W02,0.2141,2,5,13,post_inoc_post_stress,6781
KSTRAW0968,T1,Root,R14I05W02,0.1139,2,5,14,post_inoc_post_stress,12650
KSTRAW0983,T1,Root,R01I01W03,0.0545,3,1,1,post_inoc_post_stress,8940
KSTRAW0984,T1,Root,R02I01W03,0.1075,3,1,2,post_inoc_post_stress,13002
KSTRAW0985,T1,Root,R03I01W03,0.1818,3,1,3,post_inoc_post_stress,7895
KSTRAW0986,T1,Root,R04I01W03,0.1253,3,1,4,post_inoc_post_stress,3340
KSTRAW0987,T1,Root,R05I01W03,0.1012,3,1,5,post_inoc_post_stress,2157
KSTRAW0988,T1,Root,R06I01W03,0.1189,3,1,6,post_inoc_post_stress,12336
